"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-15",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-18",,,"0.16",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-19",,,"0.26",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-20",,,"0.50",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-21",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-23",,,"0.44",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-24",,,"0.49",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-25",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-26",,,"0.03",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-27",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-28",,,"0.03",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-04-30",,,"0.19",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-01",,,"0.09",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-02",,,"0.07",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-03",,,"0.34",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-04",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-05",,,"1.63",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-06",,,"0.15",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-08",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-10",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-11",,,"0.04",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-12",,,"0.27",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-13",,,"0.21",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-14",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-15",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-16",,,"0.62",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-17",,,"0.12",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-18",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-19",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-20",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-21",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-26",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-27",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-28",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-30",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-05-31",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-01",,,"0.12",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-02",,,"0.03",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-05",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-08",,,"0.18",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-09",,,"0.14",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-10",,,"0.10",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-12",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-13",,,"0.00",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-14",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-15",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-16",,,"0.93",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-18",,,"0.07",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-19",,,"0.00",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-20",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-21",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-26",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-27",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-28",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-06-30",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-01",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-02",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-05",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-08",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-10",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-12",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-13",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-14",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-15",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-18",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-19",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-20",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-21",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-26",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-27",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-28",,,"0.00",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-30",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-07-31",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-01",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-02",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-05",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-08",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-10",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-12",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-13",,,"0.03",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-14",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-15",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-18",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-19",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-20",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-21",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-24",,,"0.00",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-26",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-27",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-28",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-30",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-08-31",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-01",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-02",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-05",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-08",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-10",,,"0.00",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-12",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-13",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-14",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-15",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-18",,,"0.23",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-19",,,"0.40",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-20",,,"0.04",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-21",,,"0.04",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-22",,,"0.05",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-25",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-26",,,"0.00",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-27",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-28",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-09-30",,,"0.08",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-01",,,"0.02",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-02",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-05",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-07",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-08",,,"0.08",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-10",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-11",,,"0.03",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-12",,,"0.24",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-13",,,"0.33",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-14",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-15",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-17",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-18",,,"0.08",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-19",,,"1.48",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-20",,,"0.89",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-21",,,"0.33",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-22",,,"1.33",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-23",,,"0.01",,,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.4752","-122.2019","64.6","2017-10-26",,,"0.07",,,,,,,,,,,,,
